Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 0.50, 15.00, 0.00, 0.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 2.50, 17.00, 0.00, 2.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 4.50, 19.00, 0.00, 4.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 6.50, 21.00, 0.00, 6.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 8.50, 23.00, 0.00, 8.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 10.50, 25.00, 0.00, 10.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 12.50, 27.00, 0.00, 12.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 14.50, 29.00, 0.00, 14.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 16.50, 31.00, 0.00, 16.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 18.50, 33.00, 0.00, 18.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 20.50, 35.00, 0.00, 20.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 22.50, 37.00, 0.00, 22.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 24.50, 39.00, 0.00, 24.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 26.50, 41.00, 0.00, 26.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
23653, 2.37, 40.00, 6.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -27.42, 29.29, 2.25, 0
