Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, -0.00, 31.00, 0.00, -0.00, -0.00, -31.00, -0.00, -186.40, 578.99, 588.61, 14.72, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 33.00, 0.00, -0.00, -0.00, -33.00, -0.00, -264.80, 657.42, 667.01, 16.68, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, -0.00, 35.00, 0.00, -0.00, -0.00, -35.00, -0.00, -348.10, 740.74, 750.31, 18.76, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 37.00, 0.00, -0.00, -0.00, -37.00, -0.00, -436.30, 828.97, 838.51, 20.96, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, -0.00, 39.00, 0.00, -0.00, -0.00, -39.00, -0.00, -529.40, 922.10, 931.61, 23.29, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, -0.00, 41.00, 0.00, -0.00, -0.00, -41.00, -0.00, -627.40, 1020.13, 1029.61, 25.74, 1
32054, 3.21, 40.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -54.37, 56.16, 1.60, 0
124745, 12.47, 40.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -1.42, 9.95, 0.28, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.53, 0.00, 0.00, 5.00, 0.00, 0.00, -0.00, -5.00, -0.00, 375.44, 16.98, 26.77, 0.76, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 7.00, 0.00, -0.00, -0.00, -7.00, -0.00, 349.69, 42.74, 52.52, 1.50, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 9.00, 0.00, -0.00, -0.00, -9.00, -0.00, 315.39, 77.05, 86.82, 2.48, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 11.00, 0.00, -0.00, -0.00, -11.00, -0.00, 272.51, 119.94, 129.70, 3.71, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00, -13.00, -0.00, 221.06, 171.42, 181.15, 5.18, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 15.00, 0.00, -0.00, -0.00, -15.00, -0.00, 161.04, 231.47, 241.17, 6.89, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00, -17.00, -0.00, 92.44, 300.09, 309.77, 8.85, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.28, 19.00, 0.00, 0.28, -0.00, -18.72, -0.00, 26.76, 365.79, 375.45, 10.73, 1
