step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
276000      19.000000     2     0.068699     244.621954     244.620864     244.636297
277000      20.000000     0     0.069072     244.675618     244.627667     0.000000
278000      19.000000     2     0.069588     244.621954     244.620864     244.636308
279000      20.000000     0     0.070015     244.675621     244.627667     0.000000
280000      19.000000     2     0.070597     244.621954     244.620864     244.636319
281000      20.000000     0     0.071084     244.675624     244.627667     0.000000
282000      19.000000     2     0.071742     244.621954     244.620864     244.636330
283000      20.000000     0     0.072299     244.675627     244.627667     0.000000
284000      19.000000     2     0.073041     244.621954     244.620864     244.636341
285000      20.000000     0     0.073677     244.675630     244.627667     0.000000
286000      19.000000     2     0.074516     244.621954     244.620864     244.636352
287000      20.000000     0     0.075239     244.675634     244.627667     0.000000
288000      19.000000     2     0.076185     244.621954     244.620864     244.636364
289000      20.000000     0     0.077006     244.675637     244.627667     0.000000
290000      19.000000     2     0.078071     244.621954     244.620864     244.636375
291000      20.000000     0     0.078999     244.675641     244.627667     0.000000
292000      19.000000     2     0.080195     244.621954     244.620864     244.636387
293000      20.000000     0     0.081241     244.675645     244.627667     0.000000
294000      19.000000     2     0.082578     244.621954     244.620864     244.636399
295000      20.000000     0     0.083750     244.675649     244.627667     0.000000
296000      19.000000     2     0.085240     244.621954     244.620864     244.636411
297000      20.000000     0     0.086547     244.675654     244.627667     0.000000
298000      19.000000     2     0.088199     244.621954     244.620864     244.636424
299000      20.000000     0     0.089649     244.675659     244.627667     0.000000
300000      19.000000     2     0.091470     244.621954     244.620864     244.636436
301000      20.000000     0     0.093068     244.675664     244.627667     0.000000
302000      19.000000     2     0.095064     244.621954     244.620864     244.636449
303000      20.000000     0     0.096814     244.675669     244.627667     0.000000
304000      19.000000     2     0.098989     244.621954     244.620864     244.636463
305000      20.000000     0     0.100892     244.675675     244.627667     0.000000
306000      19.000000     2     0.103204     244.621954     244.620864     244.636477
307000      20.000000     0     0.105260     244.675681     244.627667     0.000000
308000      19.000000     2     0.107684     244.621954     244.620864     244.636491
309000      20.000000     0     0.109871     244.675687     244.627667     0.000000
310000      19.000000     2     0.112404     244.621954     244.620864     244.636506
311000      20.000000     1     0.114682     244.675695     244.627667     0.000000
312000      20.000000     0     0.116975     244.675695     244.627684     0.000000
313000      19.000000     2     0.119631     244.621954     244.620864     244.636516
314000      20.000000     0     0.122014     244.675702     244.627684     0.000000
315000      19.000000     2     0.124775     244.621954     244.620864     244.636532
316000      20.000000     0     0.127249     244.675711     244.627684     0.000000
