episode,alpha_idx,action_0,action_1,action_2
29,3,249.802457,249.731485,249.569552
29,4,249.902101,249.789844,249.768669
29,5,249.794818,249.576099,249.607337
29,6,249.973201,249.793626,249.763864
29,7,250.004559,250.000119,250.000030
29,8,250.000547,250.000027,250.000013
29,9,250.000293,250.000014,250.000021
29,10,250.000064,250.000000,250.000000
29,11,250.000012,250.000007,250.000000
29,12,250.000000,250.000000,250.000000
29,13,250.000000,250.000000,250.000000
29,14,250.000000,250.000000,250.000000
29,15,250.000000,250.000000,0.000000

30,0,0.000000,249.554957,249.985725
30,1,249.574216,249.554290,249.678152
30,2,249.420573,248.911058,249.717208
30,3,249.817520,249.734949,249.575807
30,4,249.902752,249.789844,249.768669
30,5,249.794954,249.576099,249.607337
30,6,249.973047,249.793626,249.763864
30,7,250.004546,250.000119,250.000030
30,8,250.000564,250.000027,250.000013
30,9,250.000300,250.000014,250.000021
30,10,250.000065,250.000000,250.000000
30,11,250.000012,250.000007,250.000000
30,12,250.000000,250.000000,250.000000
30,13,250.000000,250.000000,250.000000
30,14,250.000000,250.000000,250.000000
30,15,250.000000,250.000000,0.000000

31,0,0.000000,249.554957,249.985725
31,1,249.574216,249.554290,249.684705
31,2,249.429896,248.925490,249.613568
31,3,249.897163,249.738954,249.586748
31,4,249.905351,249.790580,249.768766
31,5,249.795353,249.576099,249.607337
31,6,249.972893,249.793626,249.763864
31,7,250.004533,250.000119,250.000030
31,8,250.000581,250.000027,250.000013
31,9,250.000308,250.000014,250.000021
31,10,250.000065,250.000000,250.000000
31,11,250.000012,250.000007,250.000000
31,12,250.000000,250.000000,250.000000
31,13,250.000000,250.000000,250.000000
31,14,250.000000,250.000000,250.000000
31,15,250.000000,250.000000,0.000000

32,0,0.000000,249.554957,249.985725
32,1,249.574216,249.554290,249.689854
32,2,249.438800,248.941008,249.565466
32,3,249.926525,249.745114,249.598870
32,4,249.910983,249.790580,249.769613
32,5,249.796666,249.576099,249.607337
32,6,249.972739,249.793626,249.763864
32,7,250.004520,250.000119,250.000030
32,8,250.000598,250.000027,250.000013
32,9,250.000315,250.000014,250.000021
32,10,250.000065,250.000000,250.000000
32,11,250.000012,250.000007,250.000000
32,12,250.000000,250.000000,250.000000
32,13,250.000000,250.000000,250.000000
32,14,250.000000,250.000000,250.000000
32,15,250.000000,250.000000,0.000000

33,0,0.000000,249.554957,249.985725
33,1,249.574216,249.554290,249.692893
33,2,249.446581,248.954931,249.774849
33,3,249.671559,249.753711,249.610900
33,4,249.916098,249.790580,249.769733
33,5,249.797246,249.576633,249.607337
33,6,249.972591,249.793626,249.763864
33,7,250.004512,250.000142,250.000030
33,8,250.000611,250.000027,250.000013
33,9,250.000322,250.000014,250.000021
33,10,250.000065,250.000000,250.000000
33,11,250.000012,250.000007,250.000000
33,12,250.000000,250.000000,250.000000
33,13,250.000000,250.000000,250.000000
33,14,250.000000,250.000000,250.000000
33,15,250.000000,250.000000,0.000000

34,0,0.000000,249.554957,249.985725
34,1,249.574216,249.554290,249.692979
34,2,249.446830,248.956369,249.781959
34,3,249.680203,249.693949,249.628976
34,4,249.920917,249.790580,249.769733
34,5,249.797393,249.576633,249.607337
34,6,249.972440,249.793626,249.763864
34,7,250.004499,250.000142,250.000030
34,8,250.000628,250.000027,250.000013
34,9,250.000329,250.000014,250.000021
34,10,250.000066,250.000000,250.000000
34,11,250.000012,250.000007,250.000000
34,12,250.000000,250.000000,250.000000
34,13,250.000000,250.000000,250.000000
34,14,250.000000,250.000000,250.000000
34,15,250.000000,250.000000,0.000000

35,0,0.000000,249.554957,249.985725
35,1,249.574216,249.554290,249.693774
35,2,249.447939,248.956369,249.789296
35,3,249.690902,249.645573,249.646246
35,4,249.924340,249.790745,249.770335
35,5,249.798206,249.576633,249.607337
35,6,249.972289,249.793626,249.763864
35,7,250.004485,250.000142,250.000030
35,8,250.000644,250.000027,250.000013
35,9,250.000336,250.000014,250.000021
35,10,250.000066,250.000000,250.000000
35,11,250.000012,250.000007,250.000000
35,12,250.000000,250.000000,250.000000
35,13,250.000000,250.000000,250.000000
35,14,250.000000,250.000000,250.000000
35,15,250.000000,250.000000,0.000000

36,0,0.000000,249.554957,249.985558
36,1,249.575455,249.554764,249.698619
36,2,249.455901,248.969926,249.856025
36,3,249.556437,249.648712,249.652352
36,4,249.924421,249.790745,249.771072
36,5,249.799303,249.576633,249.607337
36,6,249.972138,249.793626,249.763864
36,7,250.004471,250.000142,250.000030
36,8,250.000661,250.000027,250.000013
36,9,250.000344,250.000014,250.000021
36,10,250.000066,250.000000,250.000000
36,11,250.000012,250.000007,250.000000
36,12,250.000000,250.000000,250.000000
36,13,250.000000,250.000000,250.000000
36,14,250.000000,250.000000,250.000000
36,15,250.000000,250.000000,0.000000

37,0,0.000000,249.554957,249.985558
37,1,249.575455,249.554764,249.698774
37,2,249.456143,248.969926,249.854101
37,3,249.560143,249.649482,249.742274
37,4,249.603300,249.792990,249.771663
37,5,249.801407,249.576971,249.607702
37,6,249.971818,249.793626,249.763864
37,7,250.004458,250.000142,250.000030
37,8,250.000678,250.000027,250.000013
37,9,250.000351,250.000014,250.000021
37,10,250.000066,250.000000,250.000000
37,11,250.000012,250.000007,250.000000
37,12,250.000000,250.000000,250.000000
37,13,250.000000,250.000000,250.000000
37,14,250.000000,250.000000,250.000000
37,15,250.000000,250.000000,0.000000

38,0,0.000000,249.554957,249.985558
38,1,249.575455,249.554764,249.698774
38,2,249.456143,248.969926,249.854101
38,3,249.560143,249.649482,249.744985
38,4,249.608118,249.562956,249.772410
38,5,249.801876,249.577421,249.608066
38,6,249.971502,249.793626,249.763864
38,7,250.004444,250.000142,250.000030
38,8,250.000695,250.000027,250.000013
38,9,250.000358,250.000014,250.000021
38,10,250.000067,250.000000,250.000000
38,11,250.000012,250.000007,250.000000
38,12,250.000000,250.000000,250.000000
38,13,250.000000,250.000000,250.000000
38,14,250.000000,250.000000,250.000000
38,15,250.000000,250.000000,0.000000

39,0,0.000000,249.554957,249.985558
39,1,249.575455,249.554764,249.698774
39,2,249.456143,248.969926,249.854101
39,3,249.560143,249.649482,249.746146
39,4,249.611495,249.565938,249.789977
39,5,249.552210,249.579997,249.614175
39,6,249.968712,249.793906,249.764194
39,7,250.004486,250.000142,250.000030
39,8,250.000711,250.000027,250.000013
39,9,250.000366,250.000014,250.000021
39,10,250.000067,250.000000,250.000000
39,11,250.000012,250.000007,250.000000
39,12,250.000000,250.000000,250.000000
39,13,250.000000,250.000000,250.000000
39,14,250.000000,250.000000,250.000000
39,15,250.000000,250.000000,0.000000

40,0,0.000000,249.554957,249.985558
40,1,249.575455,249.554764,249.698774
40,2,249.456143,248.969926,249.854101
40,3,249.560143,249.649482,249.746146
40,4,249.611495,249.565938,249.789104
40,5,249.556197,249.582113,249.735063
40,6,249.633439,249.798194,249.770401
40,7,250.003428,250.000142,250.000032
40,8,250.000738,250.000027,250.000013
40,9,250.000373,250.000014,250.000021
40,10,250.000067,250.000000,250.000000
40,11,250.000012,250.000007,250.000000
40,12,250.000000,250.000000,250.000000
40,13,250.000000,250.000000,250.000000
40,14,250.000000,250.000000,250.000000
40,15,250.000000,250.000000,0.000000

41,0,0.000000,249.554957,249.985558
41,1,249.575455,249.554764,249.698774
41,2,249.456143,248.969926,249.854101
41,3,249.560143,249.649482,249.746146
41,4,249.611495,249.565938,249.789104
41,5,249.556197,249.582439,249.739656
41,6,249.638306,249.841866,249.776115
41,7,249.999962,249.750142,250.000033
41,8,250.000753,250.000027,250.000013
