Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, -0.00, 31.00, 0.00, 0.00, -0.00, -31.00, -0.00, -628.02, 1020.84, 1030.07, 29.43, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, -764.81, 1157.69, 1167.27, 33.35, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, -910.54, 1303.48, 1313.04, 37.52, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, -1064.84, 1457.85, 1467.39, 41.93, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, 0.00, 39.00, 0.00, 0.00, -0.00, -39.00, -0.00, -1228.42, 1621.49, 1630.31, 46.58, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, -0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, -1399.97, 1793.10, 1801.81, 51.48, 1
73562, 7.36, 40.00, 2.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -43.88, 45.57, 2.03, 0
2000000, 200.00, 40.00, 2.00, 0.79, 1.44, -0.06, -0.00, 3.00, 0.00, 2.81, -0.37, -0.19, -0.37, 401.79, -9.47, 0.24, 0.01, 0
2000000, 200.00, 40.00, 2.00, 0.79, 1.51, -0.00, 0.00, 5.00, 0.00, 0.00, -0.00, -5.00, -0.00, 367.76, 24.69, 34.45, 1.53, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.52, -0.00, -0.00, 7.00, 0.00, -0.00, -0.00, -7.00, -0.00, 334.68, 57.80, 67.53, 3.00, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.52, -0.00, 0.00, 9.00, 0.00, 0.00, -0.00, -9.00, -0.00, 290.58, 101.94, 111.63, 4.96, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.52, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 235.58, 157.00, 166.75, 7.41, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.52, -0.00, -0.00, 13.00, 0.00, 0.00, -0.00, -13.00, -0.00, 169.24, 223.40, 232.90, 10.35, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.52, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 92.19, 300.52, 310.08, 13.78, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, -0.00, 0.79, 17.00, 0.00, 0.79, -0.00, -16.21, -0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, -95.31, 488.21, 497.50, 22.11, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, -205.42, 598.43, 607.75, 27.01, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, -326.63, 719.76, 729.02, 32.40, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, -458.86, 852.12, 861.32, 38.28, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, -0.00, -0.00, 27.00, 0.00, 0.00, -0.00, -27.00, -0.00, -602.65, 996.06, 1004.64, 44.65, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, -756.39, 1149.94, 1158.99, 51.51, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, -921.68, 1315.39, 1324.37, 58.86, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, -0.00, -0.00, 33.00, 0.00, 0.00, -0.00, -33.00, -0.00, -1098.97, 1492.86, 1500.76, 66.70, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, -1285.32, 1679.39, 1688.19, 75.03, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, -0.00, 0.00, 37.00, 0.00, 0.00, -0.00, -37.00, -0.00, -1484.99, 1879.26, 1886.63, 83.85, 1
