Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
33454, 3.35, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00,  -21.00, 0.00, 980.18, 6344.53, 6267.00, 6221.19, 756.38, 156.67, -18.91, 155.53, 0
30556, 3.06, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00,  -23.00, 0.00, 980.09, 7851.68, 7753.76, 7699.41, 916.47, 193.84, -22.91, 192.49, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 25.00, 0.00, -0.00, -0.00,  -25.00, -0.00, 608.00, 373.13, 382.81, -0.00, 382.81, 9.57, 9.57, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 27.00, 0.00, -0.00, -0.00,  -27.00, -0.00, 544.30, 436.85, 446.51, -0.00, 446.51, 11.16, 11.16, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 29.00, 0.00, -0.00, -0.00,  -29.00, -0.00, 475.70, 505.47, 515.11, -0.01, 515.11, 12.88, 12.88, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 31.00, 0.00, -0.00, -0.00,  -31.00, -0.00, 402.20, 578.99, 588.61, -0.01, 588.61, 14.72, 14.72, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 33.00, 0.00, -0.00, -0.00,  -33.00, -0.00, 323.80, 657.41, 667.01, -0.01, 667.01, 16.68, 16.68, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 35.00, 0.00, -0.00, -0.00,  -35.00, -0.00, 240.50, 740.74, 750.31, -0.01, 750.31, 18.76, 18.76, 0.00, 1
19022, 1.90, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00,  -37.00, 0.00, 980.18, 22521.02, 22221.79, 22086.58, 2447.57, 555.54, -61.19, 552.16, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 39.00, 0.00, -0.00, -0.00,  -39.00, -0.00, 59.20, 922.10, 931.61, -0.02, 931.61, 23.29, 23.29, 0.00, 1
