t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
290000       55.363731       18.023560      8.725213      0.000000      9.003833      6.939754     7.846886
291000       55.390567       18.158129      8.804277      0.000000      9.071165      7.067246     7.967297
292000       55.416961       18.295564      8.884474      0.000000      9.139936      7.198552     8.072722
293000       55.442912       18.435954      8.965868      0.000000      9.210191      7.333809     8.207621
294000       55.468440       18.579349      9.048533      0.000000      9.281956      7.473118     8.325971
295000       55.493547       18.725830      9.132537      0.000000      9.355270      7.616610     8.476413
296000       55.518088       18.876203      9.218100      0.000000      9.430538      7.765184     8.637788
297000       55.542277       19.029743      9.305182      0.000000      9.507397      7.918126     8.779379
298000       55.566120       19.186509      9.393857      0.000000      9.585877      8.075547     8.957435
299000       55.589655       19.346522      9.484210      0.000000      9.665989      8.237507     9.113617
300000       55.612891       19.509831      9.576313      0.000000      9.747757      8.404101     9.308916
301000       55.635869       19.676442      9.670255      0.000000      9.831184      8.575371     9.480034
302000       55.658601       19.846392      9.766110      0.000000      9.916290      8.751393     9.692854
303000       55.681133       20.019674      9.863967      0.000000      10.003072      8.932184     9.879021
304000       55.703471       20.196311      9.963893      0.000000      10.091540      9.117798     10.107397
305000       55.725658       20.376283      10.065971      0.000000      10.181686      9.308232     10.308511
306000       55.747685       20.559599      10.170247      0.000000      10.273514      9.503514     10.547918
307000       55.769591       20.746234      10.276803      0.000000      10.367013      9.703624     10.763616
308000       55.791364       20.936192      10.385683      0.000000      10.462184      9.908574     11.013578
309000       55.813020       21.129440      10.496943      0.000000      10.559011      10.118324     11.238394
310000       55.834536       21.325984      10.610621      0.000000      10.657497      10.332879     11.498446
311000       55.855923       21.525795      10.726773      0.000000      10.757630      10.552188     11.731742
312000       55.877150       21.728887      10.845433      0.000000      10.859415      10.776250     12.001502
313000       55.898220       21.935237      10.966656      0.000000      10.962842      11.005006     12.243009
314000       55.919092       22.144870      11.090477      0.000000      11.067924      11.238451     12.522225
315000       55.939762       22.357771      11.216948      0.000000      11.174653      11.476519     12.771811
316000       55.960177       22.573975      11.346103      0.000000      11.283049      11.719206     13.060418
317000       55.980325       22.793481      11.477997      0.000000      11.393109      11.966436     13.318130
318000       56.000141       23.016336      11.612662      0.000000      11.504859      12.218205     13.616288
319000       56.019603       23.242550      11.750157      0.000000      11.618304      12.474432     13.882387
320000       56.038633       23.472188      11.890515      0.000000      11.733476      12.735111     14.190528
321000       56.057201       23.705270      12.033796      0.000000      11.850387      13.000154     14.465522
322000       56.075213       23.941879      12.180038      0.000000      11.969078      13.269554     14.784380
323000       56.092631       24.182047      12.329306      0.000000      12.089566      13.543209     15.069047
324000       56.109346       24.425876      12.481642      0.000000      12.211901      13.821112     15.399686
325000       56.125310       24.673408      12.637116      0.000000      12.336107      14.103144     15.695096
326000       56.140398       24.924764      12.795778      0.000000      12.462243      14.389291     16.038931
327000       56.154553       25.179998      12.957705      0.000000      12.590336      14.679411     16.346463
328000       56.167635       25.439249      13.122954      0.000000      12.720458      14.973476     16.705277
329000       56.179578       25.702578      13.291613      0.000000      12.852638      15.271315     17.026627
330000       56.190223       25.970144      13.463748      0.000000      12.986957      15.572875     17.402584
331000       56.199496       26.242013      13.639459      0.000000      13.123447      15.877941     17.739773
332000       56.207224       26.518360      13.818822      0.000000      13.262197      16.186427     18.135412
333000       56.213324       26.799255      14.001953      0.000000      13.403242      16.498058     18.490777
334000       56.217605       27.084885      14.188937      0.000000      13.546675      16.812699     18.909002
335000       56.219983       27.375318      14.379906      0.000000      13.692530      17.129994     19.285175
336000       56.220245       27.670749      14.574961      0.000000      13.840906      17.449739     19.729215
337000       56.218307       27.971240      14.774251      0.000000      13.991831      17.771475     20.129075
338000       56.213941       28.276988      14.977890      0.000000      14.145406      18.094904     20.602413
339000       56.207065       28.588038      15.186045      0.000000      14.301652      18.419435     21.029010
340000       56.197435       28.904585      15.398845      0.000000      14.460665      18.744649     21.535267
341000       56.184977       29.226645      15.616477      0.000000      14.622454      19.069790     21.991691
342000       56.170713       29.552143      15.838705      0.000000      14.785975      19.391497     22.454470
343000       56.153054       29.883553      16.065983      0.000000      14.952469      19.712064     23.006376
344000       56.131947       30.220845      16.298537      0.000000      15.121919      20.030456     23.505019
345000       56.107120       30.564175      16.536536      0.000000      15.294401      20.345827     24.100279
346000       56.078551       30.913447      16.780221      0.000000      15.469865      20.656888     24.637276
347000       56.045974       31.268767      17.029769      0.000000      15.648363      20.962552     25.278410
348000       56.009405       31.629959      17.285437      0.000000      15.829803      21.261254     25.855346
349000       55.968591       31.997064      17.547399      0.000000      16.014203      21.551646     26.543508
350000       55.923602       32.369810      17.815920      0.000000      16.201424      21.831886     27.160584
351000       55.874205       32.748160      18.091166      0.000000      16.391444      22.100367     27.895067
352000       55.820534       33.131737      18.373398      0.000000      16.584070      22.354991     28.550694
353000       55.762387       33.520410      18.662762      0.000000      16.779233      22.593928     29.328486
354000       55.699968       33.913691      18.959506      0.000000      16.976686      22.814881     30.018948
355000       55.633114       34.311351      19.263743      0.000000      17.176308      23.015859     30.834416
356000       55.562108       34.712793      19.575694      0.000000      17.377796      23.194467     31.553680
357000       55.486833       35.117686      19.895428      0.000000      17.580981      23.348652     32.398451
358000       55.407653       35.525331      20.223127      0.000000      17.785509      23.476054     33.138185
359000       55.324503       35.935302      20.558801      0.000000      17.991163      23.574698     34.001291
360000       55.237828       36.346816      20.902584      0.000000      18.197546      23.642416     34.751100
361000       55.147620       36.759366      21.254420      0.000000      18.404401      23.677470     35.619404
362000       55.054397       37.172103      21.614379      0.000000      18.611300      23.678061     36.367307
