t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
196000       52.980861       10.103716      4.012351      0.000000      5.047099      1.487057     3.695347
197000       52.995117       10.217400      4.050201      0.000000      5.103890      1.535156     3.873771
198000       53.010956       10.330618      4.089812      0.000000      5.160447      1.583959     4.047248
199000       53.028366       10.443191      4.131130      0.000000      5.216679      1.633373     4.215145
200000       53.047328       10.554962      4.174096      0.000000      5.272508      1.683312     4.376939
201000       53.067814       10.665788      4.218648      0.000000      5.327863      1.733692     4.532217
202000       53.089790       10.775551      4.264719      0.000000      5.382685      1.784433     4.680671
203000       53.113216       10.884147      4.312240      0.000000      5.436922      1.835461     4.822092
204000       53.138049       10.991495      4.361139      0.000000      5.490533      1.886706     4.956359
205000       53.164240       11.097527      4.411344      0.000000      5.543485      1.938105     5.083432
206000       53.191737       11.202194      4.462784      0.000000      5.595753      1.989602     5.203340
207000       53.220487       11.305459      4.515388      0.000000      5.647318      2.041146     5.316175
208000       53.250432       11.407301      4.569086      0.000000      5.698170      2.092691     5.422076
209000       53.281518       11.507707      4.623808      0.000000      5.748304      2.144198     5.521224
210000       53.313685       11.606679      4.679490      0.000000      5.797719      2.195634     5.613832
211000       53.346878       11.704224      4.736065      0.000000      5.846420      2.246970     5.700139
212000       53.381039       11.800359      4.793473      0.000000      5.894415      2.298183     5.780400
213000       53.416111       11.895108      4.851655      0.000000      5.941716      2.349254     5.854883
214000       53.452039       11.988499      4.910553      0.000000      5.988337      2.400169     5.923863
215000       53.488770       12.080566      4.970115      0.000000      6.034296      2.450916     5.987618
216000       53.526251       12.171347      5.030290      0.000000      6.079611      2.501488     6.046425
217000       53.564431       12.260883      5.091029      0.000000      6.124302      2.551882     6.100556
218000       53.603260       12.349216      5.152287      0.000000      6.168392      2.602096     6.150280
219000       53.642692       12.436391      5.214021      0.000000      6.211902      2.652132     6.195857
220000       53.682680       12.522455      5.276191      0.000000      6.254857      2.701993     6.237539
221000       53.723180       12.607455      5.338760      0.000000      6.297279      2.751686     6.275568
222000       53.764150       12.691438      5.401691      0.000000      6.339193      2.801218     6.310178
223000       53.805550       12.774453      5.464953      0.000000      6.380622      2.850597     6.341589
224000       53.847342       12.856548      5.528514      0.000000      6.421592      2.899836     6.370015
225000       53.889488       12.937770      5.592344      0.000000      6.462125      2.948946     6.395657
226000       53.931954       13.018168      5.656418      0.000000      6.502246      2.997941     6.418708
227000       53.974705       13.097788      5.720711      0.000000      6.541978      3.046834     6.439348
228000       54.017709       13.176678      5.785198      0.000000      6.581346      3.095641     6.457752
229000       54.060937       13.254885      5.849859      0.000000      6.620371      3.144379     6.474083
230000       54.104358       13.332453      5.914673      0.000000      6.659078      3.193065     6.488497
231000       54.147945       13.409428      5.979623      0.000000      6.697489      3.241716     6.501142
232000       54.191671       13.485857      6.044691      0.000000      6.735627      3.290353     6.512159
233000       54.235510       13.561782      6.109861      0.000000      6.773514      3.338994     6.521682
234000       54.279439       13.637249      6.175120      0.000000      6.811172      3.387661     6.529838
235000       54.323432       13.712301      6.240454      0.000000      6.848623      3.436374     6.536749
236000       54.367469       13.786982      6.305851      0.000000      6.885889      3.485156     6.542533
237000       54.411528       13.861337      6.371301      0.000000      6.922993      3.534032     6.547301
238000       54.455586       13.935409      6.436794      0.000000      6.959956      3.583024     6.551162
239000       54.499625       14.009242      6.502322      0.000000      6.996800      3.632160     6.554220
240000       54.543625       14.082880      6.567877      0.000000      7.033548      3.681465     6.556577
241000       54.587567       14.156369      6.633452      0.000000      7.070222      3.730967     6.558330
242000       54.631433       14.229753      6.699042      0.000000      7.106845      3.780696     6.559577
243000       54.675204       14.303079      6.764642      0.000000      7.143439      3.830683     6.560413
244000       54.718863       14.376393      6.830249      0.000000      7.180028      3.880960     6.560930
245000       54.762392       14.449742      6.895860      0.000000      7.216636      3.931560     6.561222
246000       54.805776       14.523176      6.961473      0.000000      7.253288      3.982521     6.561381
247000       54.848997       14.596745      7.027087      0.000000      7.290007      4.033879     6.561499
248000       54.892038       14.670499      7.092703      0.000000      7.326821      4.085674     6.561671
249000       54.934884       14.744492      7.158321      0.000000      7.363756      4.137949     6.561990
250000       54.977518       14.818777      7.223943      0.000000      7.400838      4.190747     6.562552
251000       55.019923       14.893411      7.289573      0.000000      7.438096      4.244115     6.563457
252000       55.062085       14.968451      7.355214      0.000000      7.475558      4.298103     6.564806
253000       55.103985       15.043957      7.420871      0.000000      7.513255      4.352762     6.566702
254000       55.145609       15.119991      7.486550      0.000000      7.551218      4.408147     6.569256
255000       55.186940       15.196618      7.552259      0.000000      7.589478      4.464316     6.572579
256000       55.227961       15.273903      7.618005      0.000000      7.628069      4.521331     6.576790
257000       55.268656       15.351915      7.683798      0.000000      7.667026      4.579255     6.582014
258000       55.309009       15.430725      7.749649      0.000000      7.706384      4.638157     6.588381
259000       55.349003       15.510408      7.815570      0.000000      7.746180      4.698109     6.596030
260000       55.388621       15.591039      7.881575      0.000000      7.786452      4.759186     6.605108
261000       55.427848       15.672698      7.947678      0.000000      7.827241      4.821467     6.615770
262000       55.466665       15.755467      8.013896      0.000000      7.868587      4.885035     6.628182
263000       55.505056       15.839431      8.080248      0.000000      7.910532      4.949980     6.642519
264000       55.543005       15.924678      8.146753      0.000000      7.953122      5.016393     6.658970
265000       55.580495       16.011298      8.213435      0.000000      7.996401      5.084371     6.677734
266000       55.617509       16.099385      8.280317      0.000000      8.040417      5.154016     6.699025
267000       55.654032       16.189037      8.347425      0.000000      8.085217      5.225433     6.723071
268000       55.690048       16.280351      8.414788      0.000000      8.130853      5.298735     6.750115
269000       55.725531       16.373538      8.482465      0.000000      8.177427      5.374130     6.785834
270000       55.760468       16.468702      8.550492      0.000000      8.224994      5.451742     6.820098
271000       55.794858       16.565842      8.618880      0.000000      8.273553      5.531601     6.858181
272000       55.828687       16.665066      8.687670      0.000000      8.323158      5.613838     6.900396
273000       55.861945       16.766486      8.756903      0.000000      8.373864      5.698588     6.947070
274000       55.894619       16.870215      8.826627      0.000000      8.425729      5.785989     6.998546
275000       55.926702       16.976364      8.896892      0.000000      8.478809      5.876185     7.055184
276000       55.958186       17.085050      8.967750      0.000000      8.533161      5.969322     7.117358
277000       55.989066       17.196386      9.039259      0.000000      8.588844      6.065551     7.185460
278000       56.019338       17.310486      9.111481      0.000000      8.645914      6.165024     7.259893
279000       56.049004       17.427463      9.184481      0.000000      8.704428      6.267896     7.341069
280000       56.078065       17.547427      9.258327      0.000000      8.764441      6.374320     7.429409
281000       56.106527       17.670486      9.333095      0.000000      8.826008      6.484454     7.525335
282000       56.134400       17.796744      9.408862      0.000000      8.889180      6.598449     7.629269
283000       56.161697       17.926298      9.485710      0.000000      8.954007      6.716458     7.741624
284000       56.188437       18.059241      9.563725      0.000000      9.020535      6.838627     7.862800
285000       56.214642       18.195657      9.642997      0.000000      9.088807      6.965098     7.993178
286000       56.240337       18.335625      9.723621      0.000000      9.158862      7.096005     8.133107
287000       56.265557       18.479209      9.805694      0.000000      9.230734      7.231471     8.282900
288000       56.290336       18.626466      9.889315      0.000000      9.304450      7.371611     8.442827
289000       56.314717       18.777441      9.974587      0.000000      9.380033      7.516526     8.613101
290000       56.338748       18.932164      10.061614      0.000000      9.457499      7.666302     8.793874
291000       56.362479       19.090654      10.150501      0.000000      9.536858      7.821008     8.985227
292000       56.385968       19.252915      10.241355      0.000000      9.618111      7.980695     9.187167
293000       56.409274       19.418936      10.334282      0.000000      9.701255      8.145397     9.399615
294000       56.432461       19.588693      10.429384      0.000000      9.786276      8.315124     9.622410
295000       56.455594       19.762147      10.526763      0.000000      9.873156      8.489866     9.854224
296000       56.478720       19.939238      10.626493      0.000000      9.961865      8.669591     10.092533
297000       56.501878       20.119899      10.728636      0.000000      10.052370      8.854250     10.336960
298000       56.525104       20.304058      10.833254      0.000000      10.144635      9.043782     10.587164
299000       56.548434       20.491639      10.940400      0.000000      10.238623      9.238115     10.842787
300000       56.571899       20.682565      11.050129      0.000000      10.334295      9.437166     11.103460
301000       56.595547       20.876904      11.162576      0.000000      10.431687      9.640994     11.386565
302000       56.619419       21.074553      11.277791      0.000000      10.530746      9.849469     11.656885
303000       56.643517       21.275281      11.395729      0.000000      10.631357      10.062318     11.930964
304000       56.667856       21.479019      11.516424      0.000000      10.733486      10.279429     12.208473
305000       56.692441       21.685700      11.639911      0.000000      10.837100      10.500687     12.489094
306000       56.717273       21.895267      11.766219      0.000000      10.942171      10.725975     12.772541
307000       56.742346       22.107669      11.895373      0.000000      11.048675      10.955178     13.058565
308000       56.767648       22.322865      12.027401      0.000000      11.156589      11.188180     13.346964
309000       56.793157       22.540821      12.162323      0.000000      11.265899      11.424871     13.637577
310000       56.818848       22.761516      12.300162      0.000000      11.376594      11.665141     13.930295
311000       56.844685       22.984937      12.440939      0.000000      11.488667      11.908886     14.225061
312000       56.870626       23.211083      12.584673      0.000000      11.602119      12.156007     14.521868
313000       56.896622       23.439964      12.731386      0.000000      11.716956      12.406407     14.820765
314000       56.922618       23.671599      12.881099      0.000000      11.833187      12.659998     15.121854
315000       56.948548       23.906022      13.033834      0.000000      11.950830      12.916693     15.425293
316000       56.974342       24.143275      13.189616      0.000000      12.069906      13.176414     15.731292
317000       56.999923       24.383414      13.348472      0.000000      12.190444      13.439082     16.040116
318000       57.025096       24.626141      13.510120      0.000000      12.312294      13.704259     16.289277
319000       57.049719       24.871619      13.674581      0.000000      12.435539      13.971999     16.603490
320000       57.073768       25.120354      13.842208      0.000000      12.560434      14.242681     16.922349
321000       57.097141       25.372445      14.013048      0.000000      12.687027      14.516237     17.246260
322000       57.119728       25.627995      14.187155      0.000000      12.815371      14.792591     17.575742
323000       57.141415       25.887120      14.364587      0.000000      12.945526      15.071665     17.911365
324000       57.162078       26.149942      14.545408      0.000000      13.077551      15.353369     18.253748
325000       57.181589       26.416591      14.729690      0.000000      13.211512      15.637603     18.603557
