step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
337000      20.000000     0     0.201291     246.662217     246.622355     0.000000
338000      19.000000     2     0.206024     246.627446     246.627807     246.627986
339000      20.000000     0     0.210290     246.662218     246.622355     0.000000
340000      19.000000     2     0.215353     246.627446     246.627807     246.627989
341000      20.000000     1     0.219917     246.662220     246.622355     0.000000
342000      20.000000     0     0.224545     246.662220     246.622358     0.000000
343000      19.000000     2     0.230064     246.627446     246.627807     246.627991
344000      20.000000     0     0.235050     246.662222     246.622358     0.000000
345000      19.000000     2     0.241003     246.627446     246.627807     246.627993
346000      20.000000     0     0.246373     246.662224     246.622358     0.000000
347000      19.000000     2     0.252784     246.627446     246.627807     246.627996
348000      20.000000     0     0.258553     246.662226     246.622358     0.000000
349000      19.000000     2     0.265435     246.627446     246.627807     246.627999
350000      20.000000     0     0.271606     246.662228     246.622358     0.000000
351000      19.000000     2     0.278951     246.627446     246.627807     246.628002
352000      20.000000     0     0.285507     246.662231     246.622358     0.000000
353000      19.000000     2     0.293285     246.627446     246.627807     246.628005
354000      20.000000     0     0.300189     246.662233     246.622358     0.000000
355000      19.000000     2     0.308344     246.627446     246.627807     246.628008
356000      20.000000     0     0.315537     246.662236     246.622358     0.000000
357000      19.000000     2     0.323985     246.627446     246.627807     246.628012
358000      20.000000     0     0.331382     246.662239     246.622358     0.000000
359000      19.000000     2     0.340013     246.627446     246.627807     246.628015
360000      20.000000     0     0.347511     246.662242     246.622358     0.000000
361000      19.000000     2     0.356194     246.627446     246.627807     246.628019
362000      20.000000     0     0.363673     246.662245     246.622358     0.000000
363000      19.000000     2     0.372262     246.627446     246.627807     246.628023
364000      20.000000     0     0.379593     246.662248     246.622358     0.000000
365000      19.000000     2     0.387934     246.627446     246.627807     246.628027
366000      20.000000     0     0.394986     246.662252     246.622358     0.000000
367000      19.000000     2     0.402930     246.627446     246.627807     246.628031
368000      20.000000     0     0.409580     246.662255     246.622358     0.000000
369000      19.000000     2     0.416990     246.627446     246.627807     246.628036
