Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, -656.37, 1638.12, 1736.42, 49.61, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 20.00, 0.00, -20.00, -0.00, -1065.73, 2047.65, 2143.74, 61.25, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 22.00, 0.00, -22.00, -0.00, -1516.40, 2498.50, 2593.92, 74.11, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 24.00, 0.00, -24.00, -0.00, -2009.99, 2992.29, 3086.98, 88.20, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, -2540.52, 3523.04, 3622.91, 103.51, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, -3118.62, 4101.37, 4201.71, 120.05, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 30.00, 0.00, -30.00, -0.00, -3748.26, 4731.27, 4823.39, 137.81, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 32.00, 0.00, -32.00, -0.00, -4413.52, 5396.80, 5487.95, 156.80, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 34.00, 0.00, -34.00, -0.00, -5121.70, 6105.27, 6195.37, 177.01, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, -5872.80, 6856.68, 6945.67, 198.45, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, -0.00, 38.00, 0.00, -38.00, -0.00, -6666.82, 7651.02, 7738.85, 221.11, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, -7503.75, 8488.30, 8574.90, 245.00, 1
49174, 4.92, 100.00, 2.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -403.95, 428.13, 20.39, 0
64351, 6.44, 100.00, 2.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, -270.15, 295.86, 14.09, 0
1000000, 100.00, 100.00, 2.00, 0.79, 0.18, -0.01, -0.00, 4.00, 0.00, -3.89, -0.61, 982.87, -10.32, 99.58, 4.74, 0
1000000, 100.00, 100.00, 2.00, 0.79, 1.39, 0.03, 0.00, 6.00, 0.00, -7.61, 0.29, 710.06, 275.47, 372.69, 17.75, 0
1000000, 100.00, 100.00, 2.00, 0.79, 1.51, -0.00, 0.00, 8.00, 0.00, -8.00, -0.00, 669.53, 312.08, 411.37, 19.59, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.51, -0.00, -0.00, 10.00, 0.00, -10.00, -0.00, 435.17, 546.69, 643.13, 30.63, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, 0.00, 12.00, 0.00, -12.00, -0.00, 152.92, 829.26, 926.09, 44.10, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, 0.00, 14.00, 0.00, -14.00, -0.00, -181.48, 1164.03, 1260.51, 60.02, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, -565.75, 1548.73, 1646.38, 78.40, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, -0.00, 18.00, 0.00, -18.00, -0.00, -1006.11, 1989.59, 2083.70, 99.22, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, -1489.82, 2473.85, 2572.47, 122.50, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, -2036.85, 3021.50, 3112.68, 148.22, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, -0.00, 24.00, 0.00, -24.00, -0.00, -2629.52, 3614.83, 3704.35, 176.40, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, -3261.01, 4247.04, 4347.46, 207.02, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, -3954.09, 4940.91, 5042.02, 240.10, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, -0.00, 30.00, 0.00, -30.00, -0.00, -4716.70, 5704.38, 5788.02, 275.62, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, -0.00, 32.00, 0.00, -32.00, -0.00, -5515.50, 6504.08, 6585.47, 313.59, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, -0.00, 0.00, 34.00, 0.00, -34.00, -0.00, -6365.82, 7355.37, 7434.37, 354.02, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, -7267.68, 8258.25, 8334.72, 396.89, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, -8189.57, 9181.18, 9286.51, 442.21, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, -9190.67, 10183.42, 10289.75, 489.99, 1
54966, 5.50, 100.00, 4.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -397.30, 419.68, 22.48, 0
79388, 7.94, 100.00, 4.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, -202.33, 229.47, 12.29, 0
1000000, 100.00, 100.00, 4.00, 0.79, 0.89, 0.05, 2.98, 4.00, 0.00, -2.93, 1.54, 949.78, 40.07, 93.85, 5.03, 0
1000000, 100.00, 100.00, 4.00, 0.79, 1.49, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 770.21, 211.44, 308.89, 16.55, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 531.88, 450.08, 548.80, 29.40, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 222.42, 759.97, 857.49, 45.94, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, -0.02, 0.96, 12.00, 0.00, -9.91, -0.07, 236.20, 746.32, 842.58, 45.14, 0
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, -599.71, 1583.26, 1680.68, 90.04, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, -1112.92, 2097.21, 2195.17, 117.60, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, -0.00, -0.00, 18.00, 0.00, -18.00, -0.00, -1702.10, 2687.23, 2778.25, 148.84, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, -2344.67, 3330.73, 3429.94, 183.75, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, -3063.20, 4050.28, 4150.22, 222.33, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, -3850.16, 4838.37, 4939.09, 264.59, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, -0.00, -0.00, 26.00, 0.00, -26.00, -0.00, -4726.04, 5715.51, 5796.56, 310.53, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, -5653.83, 6644.63, 6722.63, 360.14, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, -0.00, -0.00, 30.00, 0.00, -30.00, -0.00, -6650.34, 7642.57, 7717.29, 413.43, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, -7682.31, 8676.02, 8780.55, 470.39, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, -0.00, -0.00, 34.00, 0.00, -34.00, -0.00, -8849.52, 9844.90, 9912.39, 531.02, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, -0.00, -0.00, 36.00, 0.00, -36.00, -0.00, -10052.19, 11049.29, 11112.83, 595.33, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, -11274.94, 12273.79, 12381.88, 663.32, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, -0.00, 0.00, 40.00, 0.00, -40.00, -0.00, -12663.69, 13664.54, 13719.50, 734.97, 1
59282, 5.93, 100.00, 6.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -391.02, 410.14, 31.55, 0
92270, 9.23, 100.00, 6.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, -158.32, 189.08, 14.54, 0
1000000, 100.00, 100.00, 6.00, 0.79, 0.74, -0.02, -0.00, 4.00, 0.00, -3.26, -0.81, 984.09, -4.58, 112.56, 8.66, 0
1000000, 100.00, 100.00, 6.00, 0.79, 1.47, -0.00, -0.00, 6.00, 0.00, -6.00, -0.00, 720.79, 261.67, 358.31, 27.56, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.48, -0.00, -0.00, 8.00, 0.00, -8.00, -0.00, 440.96, 542.27, 636.99, 49.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.49, 10.00, 0.00, -9.51, 0.00, 179.56, 804.35, 899.44, 69.19, 0
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, 2.47, 12.00, 0.00, -9.52, -0.00, 177.49, 806.47, 901.57, 69.35, 0
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, -0.00, 14.00, 0.00, -14.00, -0.00, -873.27, 1860.35, 1950.77, 150.06, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, -0.00, 16.00, 0.00, -16.00, -0.00, -1471.96, 2460.80, 2547.94, 196.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, 0.00, 18.00, 0.00, -18.00, -0.00, -2150.45, 3141.29, 3224.72, 248.06, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, -2908.74, 3901.82, 3981.13, 306.24, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, -3723.55, 4719.03, 4817.16, 370.55, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, -0.00, 24.00, 0.00, -24.00, -0.00, -4664.77, 5663.03, 5732.79, 440.98, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, -5627.49, 6628.59, 6728.05, 517.54, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, -0.00, 28.00, 0.00, -28.00, -0.00, -6740.04, 7744.43, 7802.92, 600.22, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, 0.00, 30.00, 0.00, -30.00, -0.00, -7897.38, 8905.19, 8957.40, 689.03, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, -0.00, -0.00, 32.00, 0.00, -32.00, -0.00, -9134.55, 10146.01, 10191.50, 783.96, 1
