t,x_kite,z_kite,x_block,z_block,theta,vtheta,windx,windy,v_block,Tension
163000,81.256393,10.176177,32.302890,0.000000,0.204956,-0.024936,20.000000,0.000000,16.865708,-0.807304
164000,81.427689,10.162521,32.471349,0.000000,0.204677,-0.023247,20.000000,0.000000,16.826300,1.544893
165000,81.598437,10.149606,32.639419,0.000000,0.204413,-0.022324,20.000000,0.000000,16.787629,6.781748
166000,81.768637,10.137463,32.807102,0.000000,0.204165,-0.020528,20.000000,0.000000,16.749296,11.918371
167000,81.938289,10.126114,32.974406,0.000000,0.203933,-0.019521,20.000000,0.000000,16.711482,15.018530
168000,82.107392,10.115592,33.141334,0.000000,0.203718,-0.017613,20.000000,0.000000,16.674319,23.210281
169000,82.275947,10.105922,33.307892,0.000000,0.203521,-0.016515,20.000000,0.000000,16.637438,24.001050
170000,82.443953,10.097137,33.474086,0.000000,0.203341,-0.014489,20.000000,0.000000,16.601553,35.568041
171000,82.611411,10.089265,33.639922,0.000000,0.203181,-0.013295,20.000000,0.000000,16.565695,33.853890
172000,82.778321,10.082341,33.805406,0.000000,0.203039,-0.011142,20.000000,0.000000,16.531212,49.176910
173000,82.944682,10.076395,33.970544,0.000000,0.202918,-0.009847,20.000000,0.000000,16.496483,44.732883
174000,83.110496,10.071463,34.135343,0.000000,0.202817,-0.007558,20.000000,0.000000,16.463553,64.266704
175000,83.275762,10.067579,34.299810,0.000000,0.202738,-0.006152,20.000000,0.000000,16.430076,56.830727
176000,83.440481,10.064782,34.463954,0.000000,0.202680,-0.003717,20.000000,0.000000,16.398876,81.119748
177000,83.604653,10.063107,34.627782,0.000000,0.202646,-0.002192,20.000000,0.000000,16.366800,70.383566
178000,83.768278,10.062598,34.791302,0.000000,0.202636,0.000401,20.000000,0.000000,16.337543,100.080050
179000,83.931357,10.063292,34.954525,0.000000,0.202650,0.002055,20.000000,0.000000,16.307047,85.678502
180000,84.093892,10.065236,35.117458,0.000000,0.202690,0.004819,20.000000,0.000000,16.279985,121.563554
181000,84.255882,10.068472,35.280114,0.000000,0.202756,0.006612,20.000000,0.000000,16.251282,103.061822
182000,84.417329,10.073051,35.442503,0.000000,0.202849,0.009561,20.000000,0.000000,16.226721,146.068993
183000,84.578235,10.079016,35.604636,0.000000,0.202971,0.011505,20.000000,0.000000,16.200067,122.947490
184000,84.738601,10.086423,35.766526,0.000000,0.203122,0.014654,20.000000,0.000000,16.178371,174.188488
185000,84.898428,10.095321,35.928187,0.000000,0.203304,0.016760,20.000000,0.000000,16.154072,145.825017
186000,85.057721,10.105767,36.089634,0.000000,0.203517,0.020124,20.000000,0.000000,16.135675,206.616358
187000,85.216480,10.117815,36.250882,0.000000,0.203763,0.022406,20.000000,0.000000,16.114096,172.265283
188000,85.374711,10.131526,36.411948,0.000000,0.204043,0.026000,20.000000,0.000000,16.099517,244.153748
189000,85.532417,10.146958,36.572850,0.000000,0.204358,0.028467,20.000000,0.000000,16.081091,202.922097
190000,85.689604,10.164175,36.733608,0.000000,0.204710,0.032304,20.000000,0.000000,16.070940,287.705502
191000,85.846276,10.183238,36.894242,0.000000,0.205099,0.034968,20.000000,0.000000,16.056174,238.526287
192000,86.002441,10.204216,37.054776,0.000000,0.205528,0.039058,20.000000,0.000000,16.051165,338.264308
193000,86.158108,10.227169,37.215233,0.000000,0.205997,0.041925,20.000000,0.000000,16.040654,279.867974
194000,86.313286,10.252169,37.375641,0.000000,0.206507,0.046273,20.000000,0.000000,16.041611,396.875654
195000,86.467985,10.279278,37.536028,0.000000,0.207061,0.049347,20.000000,0.000000,16.036032,327.761571
196000,86.622219,10.308567,37.696424,0.000000,0.207660,0.053953,20.000000,0.000000,16.043893,464.575881
197000,86.776002,10.340098,37.856861,0.000000,0.208304,0.057229,20.000000,0.000000,16.044009,382.987272
198000,86.929352,10.373938,38.017376,0.000000,0.208996,0.062083,20.000000,0.000000,16.059816,542.295273
